MESURE - Dollars des États-Unis aux prix courants et taux de change courants en millions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANNÉE,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
          Haïti,331.1999997,362.8000001,371.9986292,466.7999997,565.3995312,681.4000001,879.0000002,947.0000002,974.2000002,1080.6,1383.8,1416.2,1474.2,1623.6,1816.2,2009.4,2237.6,1958.8,1971,2265.4,2613.6,2351.608894,1532.494474,1551.491519,2056.914894,2333.926034,2722.348363,2971.405043,3443.106719,3746.596773,3357.891692,3214.586332,2945.612369,2590.184749,3354.207628,3806.696349,4470.425695,5471.661151,5871.568164,5958.263816,6146.528811,6848.336248,7166.002417,7691.336865,8001.576491
          Kiribati,20.19553971,21.43074714,27.16969792,44.43310187,80.47996962,77.53768724,57.86994031,54.54138448,63.48079879,60.57594734,33.49802318,39.48477502,38.92079176,36.72974692,40.323356,29.97526146,28.95945797,33.67732289,43.41417081,41.60787181,39.99753355,47.37178163,48.08571964,47.04166644,54.81075586,55.98122803,66.86761313,67.22773605,65.63863629,69.15841866,74.69928225,65.23717359,73.72834935,94.2014349,102.3602979,112.1362148,108.5477658,130.7393719,140.3609253,129.9696095,153.2067629,174.9181462,180.7663022,174.5269536,173.0781331
          Rép. dém. populaire lao,114.5929889,126.4189299,136.4446095,156.428602,176.6913796,205.9352066,223.6610867,232.7969777,251.6214246,266.9517536,320.1419435,403.6954236,459.1113341,499.5985453,554.4027238,601.1503653,643.2368893,650.2436908,659.4791723,782.3431508,865.6743432,1028.365131,1133.049144,1278.940598,1483.235878,1708.075312,1800.457025,1678.086003,1234.936201,1397.381049,1665.309931,1684.979411,1758.293208,2014.090053,2376.062445,2716.783867,3541.450756,4213.933722,5285.170106,5585.016535,6743.619373,8060.599783,9397.285819,10759.60783,11666.98404
          Lesotho,67.33075409,64.65772355,76.60144174,115.9476996,132.1553011,137.5490511,135.8025948,177.7914028,245.1638733,266.8363064,351.0713236,356.5333963,327.1857862,355.4898304,303.1215362,247.5812777,290.7879028,369.153079,429.8086861,451.4524683,544.6396604,608.8085289,720.4840796,721.52016,755.1004482,859.2114334,815.8310126,859.7294332,801.4411171,801.5468188,771.2585381,706.3935969,656.7500183,969.1609434,1234.219558,1368.346468,1428.8426,1597.484736,1630.667593,1708.772782,2175.685681,2487.352968,2328.196275,2229.897137,2150.651657
          Libéria,259.031291,273.132553,295.999464,346.116111,423.420385,508.905889,527.355397,589.54944,645.899748,744.074506,765.195436,880.150063,912.708019,906.279909,893.423691,880.984882,865.874652,909.535705,966.971278,996.440402,487.131744,441.003764,283.230866,203.267252,167.53074,170.825596,202,342.6,418.2,504.154,527.84,522,562,433,527,608,702,817,920,1024,1074,1540.1,1734,1946,1991.473262
          Madagascar,898.0607424,971.0187344,1109.803195,1367.052261,1548.791824,1844.039747,1762.29644,1905.333693,2156.389178,2797.563317,3264.881112,2903.61311,2848.149675,2836.804191,2939.419161,2857.825242,3258.215387,2565.624571,2442.458757,2497.94582,3079.751207,2673.263011,2996.029972,3370.766169,2976.973726,3159.829825,3994.938306,3545.588378,3738.375932,3721.307849,3877.68014,4529.566261,4397.26127,5474.02542,4363.934417,5038.577053,5515.236338,7342.92362,9413.002737,8556.73227,8745.286045,9922.085993,9968.252914,10611.64968,10617.85222
          Malawi,579.1543478,728.514493,832.4984181,802.8187332,991.3104648,1107.997918,1211.195441,1456.85803,1714.737269,1840.148967,2236.356796,2236.401776,2113.676343,2203.656462,2157.877491,2027.757275,2124.237127,2218.459893,2472.883263,2970.408323,3166.319965,3658.041858,3285.104233,3612.29898,2134.243006,2473.657154,2942.803988,3106.679832,3214.447154,3208.978291,3150.376893,3101.595762,3495.597587,3209.16724,3476.333639,3655.892942,3998.018952,4432.93747,5321.01249,6191.125746,6959.657612,7158.342392,5559.077199,5146.257988,5621.16518
          Mali,294.3221709,351.8530856,398.0914776,461.1364474,432.7643322,644.2625136,763.0088673,887.928075,1029.088362,1301.171118,1516.955741,1399.175533,1228.217652,1079.340485,1060.745919,1157.896473,1689.54671,1998.758471,2067.495997,2073.30029,2509.689208,2450.843912,2785.881534,2842.929649,1871.285556,2618.075668,2780.422134,2697.105887,2920.358704,2938.610445,2655.438767,3017.629331,3189.056125,4221.530411,4982.269703,5486.318868,6122.647374,7145.363259,8737.662078,8964.480932,9400.175654,10647.54567,10340.79502,10942.72591,11647.00133
          Mauritanie,323.965031,347.3625372,405.941248,462.0384468,627.6775527,758.8058332,846.9777663,870.8681636,856.9164774,1069.315151,1495.611103,1444.872289,1308.971672,1330.538012,1157.440146,1085.028559,1275.103434,1444.922428,1520.23849,1550.679705,1622.500534,1739.678982,1762.677474,1505.821165,1595.684542,1680.792538,1700.326827,1652.408269,1440.825363,1405.659713,1293.65578,1295.53911,1324.426282,1563.074859,1889.115069,2184.444849,3040.718541,3356.758534,4031.047704,3662.281668,4337.791531,5123.097509,4845.165274,5516.440766,5577.333721
          Mozambique,3565.393353,3969.367094,4443.89363,5232.820227,5472.215679,5665.720285,5159.475472,5222.390154,5457.1271,5737.4313,5647.763644,5442.028968,5714.444099,5312.827366,6024.947323,5669.114239,5876.760099,3437.543126,2928.911907,3165.102774,3474.493196,3216.947096,2273.191534,2386.195213,2458.369615,2523.339546,3467.66557,4110.957476,4708.573094,5132.430655,4808.325941,4568.188659,4974.271856,5548.758233,6748.867398,7595.096898,8166.997252,9192.939073,11026.24746,10726.6311,10165.35359,13244.88004,14952.94685,15628.1683,16792.64649
          Myanmar,2692.428945,2757.330045,2553.7773,3320.911031,3979.00932,3680.127047,4089.462502,4190.673073,4677.667224,5365.059238,5905.194181,5938.642257,6072.20297,6258.858779,6454.929149,6606.488611,4996.051797,4918.295234,4512.585637,4861.275377,5183.093727,5320.780642,5967.821069,6478.803582,7111.472712,7764.211662,8415.31019,9043.065555,5925.85536,6575.623036,7275.325971,7633.917594,10369.13364,9924.908039,10253.84922,11930.82861,13851.58192,18232.52529,25864.44415,32934.81258,41517.78484,57933.91837,61571.03584,63030.96549,67627.82497
          Népal,1040.760767,1060.93933,1230.799317,1144.162554,1457.682046,1616.818498,1493.848444,1484.057785,1749.146233,1987.385688,2089.013873,2374.579869,2511.868658,2491.862427,2569.210292,2740.969753,2818.322676,3142.208817,3545.091543,3524.780268,3780.186252,3468.572521,3756.77067,3787.172382,4330.701346,4534.418924,4713.497173,5191.233802,4895.254796,5380.887241,5730.380115,5890.90618,5899.626934,6464.691914,7285.500156,8258.829299,8990.152614,10958.76984,11692.06109,12744.46157,16304.62831,18467.4265,18028.77094,18178.67704,19333.03162
          Niger,426.8272398,457.3989916,573.5388936,611.3235828,702.0769733,894.1688368,1058.177751,1249.521301,1691.652072,2214.615841,2697.416016,2352.546598,2144.491026,1916.542124,1552.854297,1530.886171,1979.850429,2290.4251,2380.833275,2221.982577,2637.840459,2503.61594,2601.072807,2387.928384,1476.810754,1786.36205,1912.51251,1761.109206,2012.203457,1979.561017,1727.05755,1880.693834,2144.63601,2640.6111,2897.005504,3369.007255,3646.729905,4283.547441,5403.36222,5397.121962,5718.587531,6409.169698,6687.732659,7407.417866,7820.088022
          Rwanda,240.725319,289.3599511,325.6085616,404.0563915,530.0572506,638.506594,712.075626,833.6628776,1011.257335,1238.625701,1400.991932,1571.037003,1571.262639,1652.13712,1772.393834,1915.581616,2154.145072,2408.838732,2598.562373,2649.910471,2573.111009,1915.357538,2023.346742,1959.457729,1206.335424,1299.874101,1406.818374,1892.485845,2034.447615,1920.75328,1771.106678,1674.220869,1677.086979,1845.686849,2088.382766,2580.597467,3110.327823,3775.447706,4796.573943,5308.990209,5698.548923,6406.72702,7292.911323,7600.876217,8007.289688
          Sao Tomé-et-Principe,35.3887959,35.46206905,39.40057236,53.26724663,54.98511405,57.15731796,49.48999199,46.79700802,52.34794017,62.53454514,77.66160472,79.40862853,76.37348655,71.43064679,74.38210448,78.67998734,110.2495548,110.272397,94.15072093,93.71744052,113.4535918,102.2105346,90.21450368,119.5821192,124.9041534,98.61523152,128.5653205,87.41709831,68.74413772,73.51517203,72.46544062,72.23028471,81.05337217,97.85354542,108.1862369,124.7802874,138.0806361,150.9254174,200.5213984,217.0096405,216.7768607,260.6113663,277.2054664,341.5181163,380.6263912
          Sénégal,952.0064169,983.8839711,1189.757977,1367.91407,1542.586666,2078.241768,2106.58601,2157.286006,2402.62492,2997.970529,3253.950333,2699.143564,2812.836748,2699.910844,2544.698031,2807.755185,4097.776964,5008.051774,5422.478091,5037.543012,6204.747588,5988.276903,6562.856612,5913.271414,3965.444147,4873.234156,5065.830114,4672.504142,5030.344291,5144.045095,4679.604925,4877.602016,5333.862339,6859.594265,8031.344239,8707.815254,9358.65548,11284.60347,13386.3663,12777.61944,12925.67925,14372.1052,14047.569,15151.74451,15912.1258
          Sierra Leone,455.5244195,485.0179503,534.6653193,609.9026363,702.2906792,750.5613535,697.5591444,794.7487247,1025.832474,1181.6859,1332.969266,1428.704725,1606.458776,1396.531823,1711.505242,1376.399431,965.5663107,819.1119325,1283.885411,1211.671624,879.4988521,1055.969006,920.5631304,1040.912747,1234.477068,1178.834023,1274.914296,1151.07633,910.2698885,906.2361165,860.8493191,1090.717293,1253.591164,1386.006041,1448.727987,1650.681289,1885.262691,2158.653309,2505.620489,2453.972926,2578.159496,2932.273915,3787.392581,4929.215177,5104.986045
          Îles Salomon,32.03200513,34.59554305,37.74035595,50.56000115,72.91370999,64.80188515,72.1021651,81.50215306,98.20772804,130.1439299,143.5238501,161.578312,163.216234,123.1108587,174.0577569,159.9846926,144.9899512,146.1594459,176.2290818,167.6229791,208.1238013,220.3886177,260.612684,282.7087167,319.7767892,364.661323,403.2124272,408.4002753,358.4148139,380.1046201,338.1849855,334.5973919,273.8275899,314.2576176,363.5127714,429.4760336,471.1767701,587.990068,637.0744824,638.5565976,719.6229193,870.2492579,975.8806316,1072.793255,1155.215758
