Country Name,"GDP per capita, PPP (constant 2011 international $)_2011","Net enrolment rate, secondary_2011"
"Hong Kong SAR, China",50085.95933,79.00348
Hungary,22603.20272,92.02006
Iceland,39557.93565,88.38543
India,4634.945162,
Indonesia,8870.284189,73.0074
"Iran, Islamic Rep.",17949.24442,80.62898
Iraq,13203.0478,
Ireland,45673.5345,
Isle of Man,,
Israel,30574.25236,98.07147
Italy,35870.71377,93.72087
Jamaica,8481.245974,77.71826
Japan,34335.30402,99.08333
Jordan,10324.44669,85.47994
Kazakhstan,22134.09211,
Kenya,2622.730169,
Kiribati,1659.293952,
"Korea, Dem. People’s Rep.",,
"Korea, Rep.",31327.1269,94.38797
Kosovo,8222.594135,
Kuwait,76308.59071,83.02159
Kyrgyz Republic,2920.60321,79.41255
Lao PDR,4233.381248,39.88004
Latvia,19451.03228,85.42546
Lebanon,15683.58332,69.62761
Lesotho,2297.389548,32.96568
Liberia,732.6330069,
Libya,11023.43714,
Liechtenstein,,92.36228
Lithuania,22541.72557,92.82778
Luxembourg,91073.32208,86.46764
"Macao SAR, China",117340.9708,79.23645
"Macedonia, FYR",11641.23022,
Madagascar,1371.648575,29.81233
Malawi,1078.855647,29.29029
Malaysia,21866.34075,66.27818
Maldives,11126.94559,
Mali,1862.940401,31.56313
Malta,28177.57367,
Marshall Islands,3505.269694,
Mauritania,3403.534526,
Mauritius,16179.29153,
Mexico,15754.19717,66.91566
"Micronesia, Fed. Sts.",3410.284084,
Moldova,4179.214809,77.74841
Monaco,,
Mongolia,8889.345538,
Montenegro,14215.55918,
Morocco,6746.899456,53.22188
Mozambique,951.8253639,16.33355
Myanmar,,
Namibia,8625.717922,
Nauru,,
Nepal,2042.140687,54.69006
Netherlands,46388.29359,89.64797
New Caledonia,,
New Zealand,32734.38316,96.25718
Nicaragua,4223.427239,
Niger,807.1930209,11.92356
Nigeria,5230.598854,
Northern Mariana Islands,,
Norway,62736.68047,95.54154
Oman,42479.20132,91.74659
Pakistan,4322.534383,36.2834
Palau,12947.90758,
Panama,17058.59645,65.55292
Papua New Guinea,2345.065877,
Paraguay,7504.677492,63.26829
Peru,10379.20984,80.02708
Philippines,5754.112442,
Poland,22520.0128,90.02568
Portugal,26932.40813,
Puerto Rico,34195.60367,73.54088
Qatar,134117.4309,94.53256
Romania,17624.5779,
Russian Federation,24074.36458,
Rwanda,1397.224691,
Samoa,5674.475341,80.00404
San Marino,,
Sao Tome and Principe,2839.895903,47.50757
Saudi Arabia,47474.04338,
Senegal,2159.022888,
Serbia,12571.8955,90.33852
Seychelles,22556.58257,74.93934
Sierra Leone,1414.860083,
Singapore,74910.18253,
Sint Maarten (Dutch part),36327.2319,
Slovak Republic,25167.45381,
Slovenia,28513.47483,93.13284
Solomon Islands,1976.4069,41.39211
Somalia,,
South Africa,12291.73384,
South Sudan,3461.751039,
Spain,32530.09314,95.05881
Sri Lanka,9213.775473,85.42614
St. Kitts and Nevis,20571.97012,85.90589
St. Lucia,10538.22528,82.85229
St. Martin (French part),,
St. Vincent and the Grenadines,9871.648577,
Sudan,3478.252239,
Suriname,15119.74355,58.04294
Swaziland,7620.196604,34.91854
Sweden,43709.21145,91.49473
Switzerland,54550.68937,83.00738
Syrian Arab Republic,,69.54365
Tajikistan,2229.445742,83.22482
Tanzania,2206.910779,
Thailand,13654.27246,81.75229
Timor-Leste,1965.522007,47.051
Togo,1255.087825,
Tonga,5030.652213,
Trinidad and Tobago,29765.01193,
Tunisia,10203.80122,
Turkey,17796.47519,84.17155
Turkmenistan,11360.50215,
Turks and Caicos Islands,,
Tuvalu,3488.248359,
Uganda,1648.531066,
Ukraine,8281.867126,83.97437
United Arab Emirates,57594.12668,
United Kingdom,36590.15937,92.0484
United States,49781.80066,88.52075
Uruguay,17904.81986,
Uzbekistan,4412.474193,
Vanuatu,2915.239621,
"Venezuela, RB",17001.91324,71.56676
Vietnam,4715.886349,
Virgin Islands (U.S.),,
West Bank and Gaza,4356.341825,81.02224
"Yemen, Rep.",3616.243909,
