MESURE - Dollars des Ätats-Unis aux prix constants (2005) et taux de change constants (2005) en millions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANNÄE,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
          Guin_e-Bissau,339.373058,326.1002881,346.8887279,350.7388208,366.729849,395.5019486,415.0534108,385.2937908,435.867621,444.5594504,373.6404307,371.7815256,387.3963459,374.2248691,394.8072447,411.7839428,407.666109,430.6647505,460.3807311,481.0968659,496.970268,511.8803307,517.2612285,527.8702481,544.5150607,568.5542988,594.6875143,633.3628589,461.3720826,496.6022044,533.8959949,544.4023062,537.0640487,539.1617757,551.1610701,586.7918361,600.3444985,619.5845168,639.4399275,661.1684365,690.5636207,727.4343108,716.5197211,718.6613765,734.4719267
          Ha¥ti,2719.497194,2895.730959,2924.025371,3063.072196,3240.114373,3276.492903,3552.969728,3569.946375,3743.754906,4026.699025,4324.194557,4200.507556,4049.334555,4087.329908,4099.456085,4123.708438,4102.689732,4071.970084,4264.372086,4312.06838,4307.217909,4318.535674,3749.413788,3658.87167,3355.717256,3503.65661,3598.240787,3695.619314,3776.321396,3878.762414,3912.413098,3871.615366,3861.788176,3875.784478,3739.394982,3806.696349,3892.460923,4022.596752,4056.545229,4181.618566,3951.721861,4170.004614,4290.313252,4474.647527,4631.439176
          Kiribati,109.1915656,106.6909784,119.5784511,144.5821465,210.0818784,221.3095344,162.0688738,154.5931842,156.2312745,138.1318929,76.74042316,74.07689612,81.59036081,73.59352698,79.27463664,75.61801602,76.79509219,74.44296258,88.02382847,80.4901387,82.20721301,87.37663904,87.53964701,88.04679825,89.20359575,88.63172152,91.29771151,93.4502164,100.2366272,97.4719235,109.2066787,104.0086503,104.313821,108.7044894,106.8409381,112.1362148,110.3613371,112.8185487,112.667266,113.5011759,111.6628989,111.8544503,115.6297999,118.9830643,122.5525562
          R_p. d_m. populaire lao,425.8381047,447.0818652,462.5139287,502.8902899,521.2093216,555.981669,572.4161044,561.0003937,566.5820944,555.2607852,610.8083186,704.4562798,754.3581858,789.7001141,846.3004506,889.2075783,932.6465535,919.34895,900.8681877,1028.707119,1097.677597,1144.840014,1208.49149,1279.944233,1384.37512,1481.714055,1584.372002,1693.251492,1760.433075,1889.056936,1998.599236,2113.54693,2238.642469,2377.657498,2544.599636,2716.783867,2951.637842,3183.120046,3430.916366,3688.302052,3988.199287,4308.870005,4649.202256,5019.650073,5386.084529
          Lesotho,286.20855,259.4957519,309.105234,389.7887871,413.2306302,379.4307633,442.1240647,520.0818221,622.571741,554.9720072,539.7392424,545.0049911,564.5634863,573.9850399,600.4586282,620.9031367,652.5494536,654.4208035,713.6314215,755.0297884,801.4687876,821.6965531,882.8538358,913.113365,959.7802195,979.2056537,1036.754763,1074.10178,1096.640003,1129.264598,1187.300163,1237.513511,1244.101743,1302.464504,1332.337635,1368.346468,1427.287263,1494.847404,1580.554125,1633.628051,1749.472883,1799.104299,1916.251881,2027.067417,2118.285451
          Lib_ria,706.661709,742.400525,769.161474,798.857495,825.994905,793.981242,832.143224,839.987631,888.326142,930.728345,872.213305,838.291543,853.001202,823.661396,818.811184,802.272757,792.810868,807.043457,829.863306,853.001202,417.707327,358.287575,232.579939,155.885794,121.961382,116.758251,130.910767,270.04248,350.245084,430.451218,541.077175,660.632794,871.3256,585.251008,555.3459,608,690.08,762.372,883.177,991.76,1098.752,1162.068,1257.076037,1358.751305,1351.957548
          Madagascar,3225.397597,3362.483461,3319.805786,3247.383065,3287.474214,3328.858626,3226.690859,3302.993369,3216.344756,3531.900897,3560.35268,3252.556117,3193.066025,3218.931282,3273.803722,3311.644872,3376.523498,3416.301832,3532.57283,3676.662688,3791.743312,3552.501963,3594.640047,3670.003826,3667.375801,3730.169092,3810.327256,3950.917788,4105.817,4298.768093,4502.410584,4772.03734,4168.334176,4576.286195,4816.861726,5038.577053,5291.644977,5621.878976,6022.625574,5783.449259,5805.438046,5881.790342,6042.33127,6163.177896,6360.954274
          Malawi,1105.877057,1264.90805,1393.600822,1425.662861,1531.770858,1616.448175,1717.067827,1791.552505,1940.52186,2005.075247,2192.985714,1955.941495,1984.167267,2067.799186,2148.817607,2249.959958,2295.696164,2272.958736,2347.704763,2443.09742,2559.659407,2759.330612,2540.842225,2814.475408,2488.310926,2712.810357,2975.205502,3088.037764,3160.852038,3200.042595,3250.589507,3094.717973,3176.884539,3358.146116,3540.174348,3655.892942,3827.71991,4195.181021,4515.681808,4891.752769,5228.015065,5379.733608,5481.479663,5776.788675,6082.958475
          Mali,1271.233828,1303.891774,1380.091424,1360.009496,1339.217315,1494.901986,1698.559039,1806.39456,1779.958403,1964.997134,1879.994504,1961.042794,2083.226145,1975.297518,1988.737687,2157.75799,2505.573264,2446.517978,2452.627145,2636.309451,2699.844793,2694.550182,2955.615276,3139.747782,3168.38737,3365.112694,3473.415695,3643.622398,3937.885524,4162.381956,4026.033481,4503.293057,4697.641561,5055.494198,5169.292921,5486.318868,5774.425006,6022.561338,6322.43455,6604.592564,6988.643347,7178.984238,7181.147101,7303.761244,7727.379907
          Mauritanie,883.4202989,889.4388006,890.875034,883.5570831,958.7199621,1055.836694,1126.28052,1121.97182,1038.054757,1142.010695,1150.012567,1195.83525,1104.463452,1131.957062,1107.804745,1144.940823,1211.473144,1239.482772,1254.584273,1300.897222,1287.384026,1324.192359,1353.134801,1470.442452,1541.260674,1504.20023,1663.005494,1595.743823,1640.07004,1749.472583,1741.942743,1776.934835,1788.751526,1895.687624,2004.635137,2184.444849,2596.631095,2669.799532,2660.694541,2702.674626,2797.992621,2920.696942,3095.03404,3302.40132,3497.286986
